Paper #,Experiment #,Effect #,Internal replication #,Effect description,Expected difference based on the original paper?,Observed difference in replication?,Original sample size,Replication sample size,Was a statistical test reported in the original paper?,What statistical test was reported?,Statistical test applied to original data,Original test statistic type,Original test statistic value,Original df1,Original df2,Original p value,Replication statistical test,Replication test statistic type,Replication test statistic value,Replication df1,Replication df2,Replication p value,Was original data representative?,Original point difference (for representative data),Replication raw difference (if original reported representative data),Replication raw difference type (mean or median),Replication raw diference standard error,Replication raw difference lower CI,Replication raw difference upper CI,Effect size type,Original effect size,Original standard error,Original lower CI,Original upper CI,Replication effect size,Replication standard error,Replication lower CI,Replication upper CI,Meta-analysis effect size,Meta-analysis lower CI,Meta-analysis upper CI,Meta-analysis p value,Observed difference in replication? (SMD),Statistical test applied to original data (SMD),Original test statistic type (SMD),Original test statistic value (SMD),Original df1 (SMD),Original df2 (SMD),Original p value (SMD),Replication statistical test (SMD),Replication test statistic type (SMD),Replication test statistic value (SMD),Replication df1 (SMD),Replication df2 (SMD),Replication p value (SMD),Replication raw difference (if original reported representative data) (SMD),Replication raw difference type (mean or median) (SMD),Replication raw diference standard error (SMD),Replication raw difference lower CI (SMD),Replication raw difference upper CI (SMD),Effect size type (SMD),Original effect size (SMD),Original standard error (SMD),Original lower CI (SMD),Original upper CI (SMD),Replication effect size (SMD),Replication standard error (SMD),Replication lower CI (SMD),Replication upper CI (SMD),Meta-analysis effect size (SMD),Meta-analysis lower CI (SMD),Meta-analysis upper CI (SMD),Meta-analysis p value (SMD),Notes
1,2,1,1,DU145 cell proliferation between siLuc and siPTEN,Positive,Null-positive,6,10,No,NA,contrast of between-subjects ANOVA,t,17.07533,NA,8,1.41E-07,contrast of between-subjects ANOVA,t,0.3848225,NA,16,0.7054361,No,NA,NA,NA,NA,NA,NA,Cohen's d,15.55022,6.807295,5.257552,26.05874,0.2433831,0.7103716,-1.009143,1.481106,0.4082767,-0.9765064,1.79306,0.5633602,Null-positive,contrast of between-subjects ANOVA,t,17.07533,NA,8,1.41E-07,contrast of between-subjects ANOVA,t,0.3848225,NA,16,0.7054361,NA,NA,NA,NA,NA,Cohen's d,15.55022,6.807295,5.257552,26.05874,0.2433831,0.7103716,-1.009143,1.481106,0.4082767,-0.9765064,1.79306,0.5633602,
1,2,2,1,DU145 cell proliferation between siLuc and siPTENP1,Positive,Positive,6,10,No,NA,contrast of between-subjects ANOVA,t,6.757534,NA,8,0.0001439379,contrast of between-subjects ANOVA,t,2.733096,NA,16,0.0147371,No,NA,NA,NA,NA,NA,NA,Cohen's d,6.153975,2.846206,1.768501,10.52976,1.728561,0.8564062,0.1992304,3.185692,2.095962,0.4886227,3.703302,0.01059493,Positive,contrast of between-subjects ANOVA,t,6.757534,NA,8,0.0001439379,contrast of between-subjects ANOVA,t,2.733096,NA,16,0.0147371,NA,NA,NA,NA,NA,Cohen's d,6.153975,2.846206,1.768501,10.52976,1.728561,0.8564062,0.1992304,3.185692,2.095962,0.4886227,3.703302,0.01059493,
1,2,3,1,DU145 cell proliferation between siLuc and siPTEN+siPTENP1,Positive,Positive,6,10,No,NA,contrast of between-subjects ANOVA,t,25.52191,NA,8,5.95E-09,contrast of between-subjects ANOVA,t,2.897103,NA,16,0.01050397,No,NA,NA,NA,NA,NA,NA,Cohen's d,23.24239,10.11381,7.984998,37.9749,1.832289,0.8730909,0.2738955,3.317114,1.990663,0.2857768,3.695548,0.02210856,Positive,contrast of between-subjects ANOVA,t,25.52191,NA,8,5.95E-09,contrast of between-subjects ANOVA,t,2.897103,NA,16,0.01050397,NA,NA,NA,NA,NA,Cohen's d,23.24239,10.11381,7.984998,37.9749,1.832289,0.8730909,0.2738955,3.317114,1.990663,0.2857768,3.695548,0.02210856,
1,2,4,1,DU145 cell proliferation between siPTEN+siPTENP1 and siPTEN,Positive,Positive,6,10,No,NA,contrast of between-subjects ANOVA,t,8.446582,NA,8,2.95E-05,contrast of between-subjects ANOVA,t,2.51228,NA,16,0.02309614,No,NA,NA,NA,NA,NA,NA,Cohen's d,7.692164,3.47768,2.372797,13.04715,1.588906,0.8350066,0.09712672,3.010802,1.921581,0.3302259,3.512935,0.0179484,Positive,contrast of between-subjects ANOVA,t,8.446582,NA,8,2.95E-05,contrast of between-subjects ANOVA,t,2.51228,NA,16,0.02309614,NA,NA,NA,NA,NA,Cohen's d,7.692164,3.47768,2.372797,13.04715,1.588906,0.8350066,0.09712672,3.010802,1.921581,0.3302259,3.512935,0.0179484,
1,2,5,1,DU145 cell proliferation between siPTEN+siPTENP1 and siPTENP1,Positive,Null-positive,6,10,No,NA,contrast of between-subjects ANOVA,t,18.76438,NA,8,6.72E-08,contrast of between-subjects ANOVA,t,0.1640072,NA,16,0.8717794,No,NA,NA,NA,NA,NA,NA,Cohen's d,17.08841,7.466766,5.806536,28.61677,0.1037272,0.7077009,-1.140048,1.341146,0.2549468,-1.125933,1.635827,0.7174559,Null-positive,contrast of between-subjects ANOVA,t,18.76438,NA,8,6.72E-08,contrast of between-subjects ANOVA,t,0.1640072,NA,16,0.8717794,NA,NA,NA,NA,NA,Cohen's d,17.08841,7.466766,5.806536,28.61677,0.1037272,0.7077009,-1.140048,1.341146,0.2549468,-1.125933,1.635827,0.7174559,
1,3,1,1,PTEN mRNA expression between siLuc and siPTEN,Positive,Positive,6,10,Yes,Student's t test,Welch's t test,t,5.949749,NA,2.271316,0.01991732,Student's t test,t,4.625078,NA,8,0.001698913,No,NA,NA,NA,NA,NA,NA,Glass' delta,3.550201,1.95388,0.01023859,7.121244,2.113865,0.9790572,0.1901405,3.943944,2.402128,0.686541,4.117715,0.006064023,Positive,Welch's t test,t,5.949749,NA,2.271316,0.01991732,Student's t test,t,4.625078,NA,8,0.001698913,NA,NA,NA,NA,NA,Glass' delta,3.550201,1.95388,0.01023859,7.121244,2.113865,0.9790572,0.1901405,3.943944,2.402128,0.686541,4.117715,0.006064023,"methods state unpaired t-test, assumed to be Student's t-test"
1,3,2,1,PTEN mRNA expression between siLuc and siPTENP1,Positive,Null-positive,6,10,Yes,Student's t test,Welch's t test,t,4.069874,NA,2.470459,0.03834298,Student's t test,t,0.5771,NA,8,0.5797451,No,NA,NA,NA,NA,NA,NA,Glass' delta,2.485944,1.48716,-0.3100871,5.194378,0.3524805,0.6446164,-0.9296733,1.593941,0.6899221,-0.4692893,1.8491335,0.2434115,Null-positive,Welch's t test,t,4.069874,NA,2.470459,0.03834298,Student's t test,t,0.5771,NA,8,0.5797451,NA,NA,NA,NA,NA,Glass' delta,2.485944,1.48716,-0.3100871,5.194378,0.3524805,0.6446164,-0.9296733,1.593941,0.6899221,-0.4692893,1.8491335,0.2434115,"methods state unpaired t-test, assumed to be Student's t-test"
1,3,3,1,PTEN mRNA expression between siLuc and siPTEN+siPTENP1,Positive,Positive,6,10,Yes,Student's t test,Welch's t test,t,5.420708,NA,2.288098,0.02393541,Student's t test,t,4.299836,NA,8,0.002616336,No,NA,NA,NA,NA,NA,NA,Glass' delta,3.240964,1.81456,-0.07688066,6.554284,2.056528,0.9636718,0.1604913,3.857627,2.317098,0.6489831,3.9852124,0.006479168,Positive,Welch's t test,t,5.420708,NA,2.288098,0.02393541,Student's t test,t,4.299836,NA,8,0.002616336,NA,NA,NA,NA,NA,Glass' delta,3.240964,1.81456,-0.07688066,6.554284,2.056528,0.9636718,0.1604913,3.857627,2.317098,0.6489831,3.9852124,0.006479168,"methods state unpaired t-test, assumed to be Student's t-test"
1,3,4,1,PTENP1 mRNA expression between siLuc and siPTEN,Positive,Null-positive,6,10,Yes,Student's t test,Student's t test,t,4.303794,NA,4,0.01260772,Student's t test,t,0.81783,NA,8,0.4371327,No,NA,NA,NA,NA,NA,NA,Cohen's d,3.514033,1.820805,0.6315354,6.298304,0.5172411,0.721735,-0.7623987,1.766394,0.9241595,-0.3908741,2.2391931,0.1683905,Null-positive,Student's t test,t,4.303794,NA,4,0.01260772,Student's t test,t,0.81783,NA,8,0.4371327,NA,NA,NA,NA,NA,Cohen's d,3.514033,1.820805,0.6315354,6.298304,0.5172411,0.721735,-0.7623987,1.766394,0.9241595,-0.3908741,2.2391931,0.1683905,"methods state unpaired t-test, assumed to be Student's t-test; Cohen's d is used here while the Replication study reported Glass' delta"
1,3,5,1,PTENP1 mRNA expression between siLuc and siPTENP1,Positive,Positive,6,10,Yes,Student's t test,Student's t test,t,6.984537,NA,4,0.00221037,Student's t test,t,3.550234,NA,8,0.007506881,No,NA,NA,NA,NA,NA,NA,Cohen's d,5.702851,2.664201,1.585428,9.796224,2.245365,0.9454523,0.5624174,3.851844,2.632081,0.8857317,4.3784303,0.003136443,Positive,Student's t test,t,6.984537,NA,4,0.00221037,Student's t test,t,3.550234,NA,8,0.007506881,NA,NA,NA,NA,NA,Cohen's d,5.702851,2.664201,1.585428,9.796224,2.245365,0.9454523,0.5624174,3.851844,2.632081,0.8857317,4.3784303,0.003136443,"methods state unpaired t-test, assumed to be Student's t-test; Cohen's d is used here while the Replication study reported Glass' delta"
