"","X.1","X","pID","eID","oID","internalID","Effect.description","origDirection","Observed.difference.in.replication.","origN","repN","testReported","What.statistical.test.was.reported.","Statistical.test.applied.to.original.data","Original.test.statistic.type","Original.test.statistic.value","Original.df1","Original.df2","Original.p.value","Replication.statistical.test","Replication.test.statistic.type","Replication.test.statistic.value","Replication.df1","Replication.df2","Replication.p.value","Was.original.data.representative.","origRawDiff","Replication.raw.difference..if.original.reported.representative.data.","Replication.raw.difference.type..mean.or.median.","Replication.raw.diference.standard.error","Replication.raw.difference.lower.CI","Replication.raw.difference.upper.CI","Effect.size.type","Original.effect.size","Original.standard.error","Original.lower.CI","Original.upper.CI","Replication.effect.size","Replication.standard.error","Replication.lower.CI","Replication.upper.CI","Meta.analysis.effect.size","Meta.analysis.lower.CI","Meta.analysis.upper.CI","Meta.analysis.p.value","repDirection","Statistical.test.applied.to.original.data..SMD.","Original.test.statistic.type..SMD.","Original.test.statistic.value..SMD.","origdf1","origdf2","origPval","Replication.statistical.test..SMD.","Replication.test.statistic.type..SMD.","Replication.test.statistic.value..SMD.","repdf1","repdf2","repPval","repRawDiff","Replication.raw.difference.type..mean.or.median...SMD.","Replication.raw.diference.standard.error..SMD.","Replication.raw.difference.lower.CI..SMD.","Replication.raw.difference.upper.CI..SMD.","EStype","origES","origSE","origESLo","origESHi","repES","repSE","repESLo","repESHi","Meta.analysis.effect.size..SMD.","Meta.analysis.lower.CI..SMD.","Meta.analysis.upper.CI..SMD.","Meta.analysis.p.value..SMD.","Notes.x","Original.paper.figure","Was.experiment.originally.identified.by.RP.CB.team","Did.experiment.continue.after.sharing.with.labs..before.submitting.protocol.to.eLife.","Did.the.experiment.protocol.get.submitted.to.eLife","Did.the.experiment.protocol.get.accepted.and.published.in.eLife","infoNeeded","infoQuality","Data.shared.by.original.authors","Code.shared.by.original.authors","Key.materials.asked.to.be.shared","materialsSharedProse","Key.materials.shared","expType","What.types.of.experimental.techniques.were.utilized.","What.category.of.experimental.techniques.were.utilized.","Number.of.lab.s..contracted.for.the.experiment","labsContracted","Registered.Report.protocol","Experiment.description","Original.sample.number..reported.","Replication.sample.number..power.","Replication.sample.number..reported.","Replication.experiment.attempted","Replication.experiment.completed","If.experiment.incomplete..why.","changesNeededRaw","If.modifications.were.needed.for.experiment.to.proceed..what.were.they.","changesSuccess","If.modifications.unable.to.be.fully.implemented..why.","Replication.study.figure","Were.materials.shippped.between.replicating.labs.","If.a.material.was.shipped.between.replicating.labs..what.was.it.","Was.the.original.experiment.blinded.","Was.the.replication.experiment.blinded.","Was.the.original.experiment.randomized.","Was.the.replication.experiment.randomized.","Was.the.original.experiment.sample.size.determined.a.priori.","Was.the.replication.experiment.sample.size.determined.a.priori.","Was.a.statistical.test.reported.in.the.original.paper..y","What.statistical.test.s..was.reported.","Was.variation.of.biological.repeats.reported.in.the.original.experiment.","Notes.y","Original.paper.title","Year","Original.paper.journal","Number.of.original.authors","OSF.project.link","Draft.protocol.shared.with.original.authors.date","Budget.per.paper.at.project.onset.when.originally.identified.by.RP.CB.team","Anticipated.budget.when.Registered.Report.manuscript.ready.for.submission.to.eLife","Anticipated.budget.when.Registered.Report.accepted.and.published.in.eLife","Actual.budget.at.completion.of.replication.attempt","Registered.Report.submission.date","Registered.Report.acceptance.date","Link.to.Registered.Report","Experimental.work.start.date","Experimental.work.end.date","Replication.study.fully.completed","If.Replication.study.incomplete..why.","Replication.study.submission.date","Replication.study.acceptance.date","Link.to.Replication.study","Did.original.authors.respond.to.any.emails.","Did.the.original.paper.have.a.potential.conflict.of.issue.statement.","Did.the.replication.study.have.a.potential.conflict.of.issue.statement.","Number.of.lab.s..contracted.for.the.entire.paper","Contracted.lab.s..for.the.entire.paper","Notes","repSignif","origSignif","changes","changes_a..GTE.moderate.success","changes_b..LT.moderate.success","changes_c..No.changes.needed","materialsShared","materialsShared_a.No","materialsShared_b.Yes","materialsShared_c..Not.requested","hasCROLab","hasCoreLab","expAnimal","quantPair","peoID","nInternal","peID","origES2","ES2type","origESLo2","origESHi2","repES2","repESLo2","repESHi2","origSE2","repSE2","origVar2","repVar2","origES3","origESLo3","origESHi3","repES3","repESLo3","repESHi3","origSE3","repSE3","origVar3","repVar3","discrep","badCI"
"1",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1D","Yes","Yes","Yes","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (microRNA),cell culture,RNA extraction,qRT-PCR,microscopy (bright-field, fluorescence)","cell,immuno,molecular",2,"Core1,CRO1","1.0","PTEN and PTENP1 mRNA expression after miR-19b and miR-20a mimic expression","3.0",6,NA,"Yes","No","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",2,"Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring; Experiment done with inhibitors instead of mimics",3,"Time/budget constraint prevented implementation of experiment with microRNA mimics",NA,"Yes","RNA","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,NA,NA,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,TRUE,FALSE,FALSE,"p1e1oNA",1,"p1e1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,1,2,1,1,"DU145 cell proliferation between siLuc and siPTEN","Positive","Null-positive",6,10,"No",NA,"contrast of between-subjects ANOVA","t",17.07533,NA,8,1.405839e-07,"contrast of between-subjects ANOVA","t",0.3848225,NA,16,0.7054361,"No",NA,NA,NA,NA,NA,NA,"Cohen's d",15.55022,6.807295,5.257552,26.05874,0.2433831,0.7103716,-1.009143,1.481106,0.4082767,-0.9765064,1.79306,0.5633602,"Null-positive","contrast of between-subjects ANOVA","t",17.07533,NA,8,1.405839e-07,"contrast of between-subjects ANOVA","t",0.3848225,NA,16,0.7054361,NA,NA,NA,NA,NA,"Cohen's d",15.55022,6.807295,5.257552,26.05874,0.2433831,0.7103716,-1.009143,1.481106,0.4082767,-0.9765064,1.79306,0.5633602,NA,"2F","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,cell proliferation/viability assay (Crystal violet),microscopy (bright-field, fluorescence)","cell,immuno",1,"CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,0,NA,6,NA,"1.0","No",NA,"No","No","No","No","No","Yes","No",NA,"Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,FALSE,FALSE,TRUE,"p1e2o1",1,"p1e2",15.55022,"Cohen's d",5.257552,26.05874,0.2433831,-1.009143,1.481106,6.807295,0.635279275446581,46.339265217025,0.403579757811934,15.55022,5.257552,26.05874,0.2433831,-1.009143,1.481106,5.30652301880982,0.635279275446581,28.1591865491584,0.403579757811934,0.107925999999999,FALSE
"3",3,3,1,2,2,1,"DU145 cell proliferation between siLuc and siPTENP1","Positive","Positive",6,10,"No",NA,"contrast of between-subjects ANOVA","t",6.757534,NA,8,0.0001439379,"contrast of between-subjects ANOVA","t",2.733096,NA,16,0.0147371,"No",NA,NA,NA,NA,NA,NA,"Cohen's d",6.153975,2.846206,1.768501,10.52976,1.728561,0.8564062,0.1992304,3.185692,2.095962,0.4886227,3.703302,0.01059493,"Positive","contrast of between-subjects ANOVA","t",6.757534,NA,8,0.0001439379,"contrast of between-subjects ANOVA","t",2.733096,NA,16,0.0147371,NA,NA,NA,NA,NA,"Cohen's d",6.153975,2.846206,1.768501,10.52976,1.728561,0.8564062,0.1992304,3.185692,2.095962,0.4886227,3.703302,0.01059493,NA,"2F","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,cell proliferation/viability assay (Crystal violet),microscopy (bright-field, fluorescence)","cell,immuno",1,"CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,0,NA,6,NA,"1.0","No",NA,"No","No","No","No","No","Yes","No",NA,"Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,TRUE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,FALSE,FALSE,TRUE,"p1e2o2",1,"p1e2",6.153975,"Cohen's d",1.768501,10.52976,1.728561,0.1992304,3.185692,2.846206,0.761866448454367,8.100888594436,0.58044048528047,6.153975,1.768501,10.52976,1.728561,0.1992304,3.185692,2.23505612070112,0.761866448454367,4.99547586268353,0.58044048528047,0.00484450000000081,FALSE
"4",4,4,1,2,3,1,"DU145 cell proliferation between siLuc and siPTEN+siPTENP1","Positive","Positive",6,10,"No",NA,"contrast of between-subjects ANOVA","t",25.52191,NA,8,5.954225e-09,"contrast of between-subjects ANOVA","t",2.897103,NA,16,0.01050397,"No",NA,NA,NA,NA,NA,NA,"Cohen's d",23.24239,10.11381,7.984998,37.9749,1.832289,0.8730909,0.2738955,3.317114,1.990663,0.2857768,3.695548,0.02210856,"Positive","contrast of between-subjects ANOVA","t",25.52191,NA,8,5.954225e-09,"contrast of between-subjects ANOVA","t",2.897103,NA,16,0.01050397,NA,NA,NA,NA,NA,"Cohen's d",23.24239,10.11381,7.984998,37.9749,1.832289,0.8730909,0.2738955,3.317114,1.990663,0.2857768,3.695548,0.02210856,NA,"2F","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,cell proliferation/viability assay (Crystal violet),microscopy (bright-field, fluorescence)","cell,immuno",1,"CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,0,NA,6,NA,"1.0","No",NA,"No","No","No","No","No","Yes","No",NA,"Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,TRUE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,FALSE,FALSE,TRUE,"p1e2o3",1,"p1e2",23.24239,"Cohen's d",7.984998,37.9749,1.832289,0.2738955,3.317114,10.11381,0.77634551553103,102.2891527161,0.602712359485141,23.24239,7.984998,37.9749,1.832289,0.2738955,3.317114,7.6506257861258,0.77634551553103,58.532074919333,0.602712359485141,0.262441000000003,FALSE
"5",5,5,1,2,4,1,"DU145 cell proliferation between siPTEN+siPTENP1 and siPTEN","Positive","Positive",6,10,"No",NA,"contrast of between-subjects ANOVA","t",8.446582,NA,8,2.947534e-05,"contrast of between-subjects ANOVA","t",2.51228,NA,16,0.02309614,"No",NA,NA,NA,NA,NA,NA,"Cohen's d",7.692164,3.47768,2.372797,13.04715,1.588906,0.8350066,0.09712672,3.010802,1.921581,0.3302259,3.512935,0.0179484,"Positive","contrast of between-subjects ANOVA","t",8.446582,NA,8,2.947534e-05,"contrast of between-subjects ANOVA","t",2.51228,NA,16,0.02309614,NA,NA,NA,NA,NA,"Cohen's d",7.692164,3.47768,2.372797,13.04715,1.588906,0.8350066,0.09712672,3.010802,1.921581,0.3302259,3.512935,0.0179484,NA,"2F","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,cell proliferation/viability assay (Crystal violet),microscopy (bright-field, fluorescence)","cell,immuno",1,"CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,0,NA,6,NA,"1.0","No",NA,"No","No","No","No","No","Yes","No",NA,"Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,TRUE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,FALSE,FALSE,TRUE,"p1e2o4",1,"p1e2",7.692164,"Cohen's d",2.372797,13.04715,1.588906,0.09712672,3.010802,3.47768,0.743298168482355,12.0942581824,0.552492167269223,7.692164,2.372797,13.04715,1.588906,0.09712672,3.010802,2.72309927228203,0.743298168482355,7.4152696467029,0.552492167269223,0.0178095000000003,FALSE
"6",6,6,1,2,5,1,"DU145 cell proliferation between siPTEN+siPTENP1 and siPTENP1","Positive","Null-positive",6,10,"No",NA,"contrast of between-subjects ANOVA","t",18.76438,NA,8,6.720672e-08,"contrast of between-subjects ANOVA","t",0.1640072,NA,16,0.8717794,"No",NA,NA,NA,NA,NA,NA,"Cohen's d",17.08841,7.466766,5.806536,28.61677,0.1037272,0.7077009,-1.140048,1.341146,0.2549468,-1.125933,1.635827,0.7174559,"Null-positive","contrast of between-subjects ANOVA","t",18.76438,NA,8,6.720672e-08,"contrast of between-subjects ANOVA","t",0.1640072,NA,16,0.8717794,NA,NA,NA,NA,NA,"Cohen's d",17.08841,7.466766,5.806536,28.61677,0.1037272,0.7077009,-1.140048,1.341146,0.2549468,-1.125933,1.635827,0.7174559,NA,"2F","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,cell proliferation/viability assay (Crystal violet),microscopy (bright-field, fluorescence)","cell,immuno",1,"CRO1","2.0","DU145 cell proliferation after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,0,NA,6,NA,"1.0","No",NA,"No","No","No","No","No","Yes","No",NA,"Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,FALSE,FALSE,TRUE,"p1e2o5",1,"p1e2",17.08841,"Cohen's d",5.806536,28.61677,0.1037272,-1.140048,1.341146,7.466766,0.632969284020355,55.752594498756,0.400650114513241,17.08841,5.806536,28.61677,0.1037272,-1.140048,1.341146,5.81904417120014,0.632969284020355,33.8612750663783,0.400650114513241,0.123242999999999,FALSE
"7",7,7,1,3,1,1,"PTEN mRNA expression between siLuc and siPTEN","Positive","Positive",6,10,"Yes","Student's t test","Welch's t test","t",5.949749,NA,2.271316,0.01991732,"Student's t test","t",4.625078,NA,8,0.001698913,"No",NA,NA,NA,NA,NA,NA,"Glass' delta",3.550201,1.95388,0.01023859,7.121244,2.113865,0.9790572,0.1901405,3.943944,2.402128,0.686541,4.117715,0.006064023,"Positive","Welch's t test","t",5.949749,NA,2.271316,0.01991732,"Student's t test","t",4.625078,NA,8,0.001698913,NA,NA,NA,NA,NA,"Glass' delta",3.550201,1.95388,0.01023859,7.121244,2.113865,0.9790572,0.1901405,3.943944,2.402128,0.686541,4.117715,0.006064023,"methods state unpaired t-test, assumed to be Student's t-test","2G","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,RNA extraction,qRT-PCR,microscopy (bright-field, fluorescence)","cell,immuno,molecular",2,"Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,2,"Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring",5,NA,"2.0","Yes","RNA","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,TRUE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,TRUE,FALSE,TRUE,"p1e3o1",1,"p1e3",3.550201,"Glass' delta",0.01023859,7.121244,2.113865,0.1901405,3.943944,1.95388,0.957620530175433,3.8176470544,0.917037079813477,3.550201,0.01023859,7.121244,2.113865,0.1901405,3.943944,1.81406532622301,0.957620530175433,3.29083300780459,0.917037079813477,0.0155402950000001,FALSE
"8",8,8,1,3,2,1,"PTEN mRNA expression between siLuc and siPTENP1","Positive","Null-positive",6,10,"Yes","Student's t test","Welch's t test","t",4.069874,NA,2.470459,0.03834298,"Student's t test","t",0.5771,NA,8,0.5797451,"No",NA,NA,NA,NA,NA,NA,"Glass' delta",2.485944,1.48716,-0.3100871,5.194378,0.3524805,0.6446164,-0.9296733,1.593941,0.6899221,-0.4692893,1.8491335,0.2434115,"Null-positive","Welch's t test","t",4.069874,NA,2.470459,0.03834298,"Student's t test","t",0.5771,NA,8,0.5797451,NA,NA,NA,NA,NA,"Glass' delta",2.485944,1.48716,-0.3100871,5.194378,0.3524805,0.6446164,-0.9296733,1.593941,0.6899221,-0.4692893,1.8491335,0.2434115,"methods state unpaired t-test, assumed to be Student's t-test","2G","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,RNA extraction,qRT-PCR,microscopy (bright-field, fluorescence)","cell,immuno,molecular",2,"Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,2,"Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring",5,NA,"2.0","Yes","RNA","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,TRUE,FALSE,TRUE,"p1e3o2",1,"p1e3",2.485944,"Glass' delta",-0.3100871,5.194378,0.3524805,-0.9296733,1.593941,1.48716,0.643790987973746,2.2116448656,0.414466836196211,2.485944,-0.3100871,5.194378,0.3524805,-0.9296733,1.593941,1.40422608359606,0.643790987973746,1.97185089385152,0.414466836196211,0.04379855,FALSE
"9",9,9,1,3,3,1,"PTEN mRNA expression between siLuc and siPTEN+siPTENP1","Positive","Positive",6,10,"Yes","Student's t test","Welch's t test","t",5.420708,NA,2.288098,0.02393541,"Student's t test","t",4.299836,NA,8,0.002616336,"No",NA,NA,NA,NA,NA,NA,"Glass' delta",3.240964,1.81456,-0.07688066,6.554284,2.056528,0.9636718,0.1604913,3.857627,2.317098,0.6489831,3.9852124,0.006479168,"Positive","Welch's t test","t",5.420708,NA,2.288098,0.02393541,"Student's t test","t",4.299836,NA,8,0.002616336,NA,NA,NA,NA,NA,"Glass' delta",3.240964,1.81456,-0.07688066,6.554284,2.056528,0.9636718,0.1604913,3.857627,2.317098,0.6489831,3.9852124,0.006479168,"methods state unpaired t-test, assumed to be Student's t-test","2G","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,RNA extraction,qRT-PCR,microscopy (bright-field, fluorescence)","cell,immuno,molecular",2,"Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,2,"Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring",5,NA,"2.0","Yes","RNA","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,TRUE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,TRUE,FALSE,TRUE,"p1e3o3",1,"p1e3",3.240964,"Glass' delta",-0.07688066,6.554284,2.056528,0.1604913,3.857627,1.81456,0.943164193108275,3.2926279936,0.889558695161584,3.240964,-0.07688066,6.554284,2.056528,0.1604913,3.857627,1.6916547223076,0.943164193108275,2.8616956995056,0.889558695161584,0.00226232999999976,FALSE
"10",10,10,1,3,4,1,"PTENP1 mRNA expression between siLuc and siPTEN","Positive","Null-positive",6,10,"Yes","Student's t test","Student's t test","t",4.303794,NA,4,0.01260772,"Student's t test","t",0.81783,NA,8,0.4371327,"No",NA,NA,NA,NA,NA,NA,"Cohen's d",3.514033,1.820805,0.6315354,6.298304,0.5172411,0.721735,-0.7623987,1.766394,0.9241595,-0.3908741,2.2391931,0.1683905,"Null-positive","Student's t test","t",4.303794,NA,4,0.01260772,"Student's t test","t",0.81783,NA,8,0.4371327,NA,NA,NA,NA,NA,"Cohen's d",3.514033,1.820805,0.6315354,6.298304,0.5172411,0.721735,-0.7623987,1.766394,0.9241595,-0.3908741,2.2391931,0.1683905,"methods state unpaired t-test, assumed to be Student's t-test; Cohen's d is used here while the Replication study reported Glass' delta","2G","Yes","No","No","Yes",2,2,0,0,NA,NA,NA,"Cell-based","transfection (siRNA),cell culture,RNA extraction,qRT-PCR,microscopy (bright-field, fluorescence)","cell,immuno,molecular",2,"Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","3.0",5,5,"Yes","Yes",NA,2,"Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring",5,NA,"2.0","Yes","RNA","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,"https://osf.io/yyqas/","2014-10-14",25000,15150,27845,70193.21,42115,42224,"https://elifesciences.org/articles/08245",42247,43471,"Partial","It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.",43689,43881,"https://elifesciences.org/articles/51019","Yes","Yes","Yes",4,"Core1,CRO1,CRO2,CRO3",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"c. Not requested",0,0,1,TRUE,TRUE,FALSE,TRUE,"p1e3o4",1,"p1e3",3.514033,"Cohen's d",0.6315354,6.298304,0.5172411,-0.7623987,1.766394,1.820805,0.645112032656415,3.315330848025,0.416169534678091,3.514033,0.6315354,6.298304,0.5172411,-0.7623987,1.766394,1.44563079849904,0.645112032656415,2.08984840556898,0.416169534678091,0.0491133000000001,FALSE
