"osf","id","paper","experiment","effect","internalReplication","resulto","resultr","smdo","so","smdr","sr","effectType","ESo","seESo","lowerESo","upperESo","po","ESr","seESr","lowerESr","upperESr","pr","no","nr"
"https://osf.io/yyqas/","(1, 2, 1, 1)",1,2,1,1,"Positive","Null-positive",15.55022,5.30652301880982,0.2433831,0.635279275446581,"Cohen's d",15.55022,6.807295,5.257552,26.05874,1.405839e-07,0.2433831,0.7103716,-1.009143,1.481106,0.7054361,6,10
"https://osf.io/yyqas/","(1, 2, 2, 1)",1,2,2,1,"Positive","Positive",6.153975,2.23505612070112,1.728561,0.761866448454367,"Cohen's d",6.153975,2.846206,1.768501,10.52976,0.0001439379,1.728561,0.8564062,0.1992304,3.185692,0.0147371,6,10
"https://osf.io/yyqas/","(1, 2, 3, 1)",1,2,3,1,"Positive","Positive",23.24239,7.6506257861258,1.832289,0.77634551553103,"Cohen's d",23.24239,10.11381,7.984998,37.9749,5.954225e-09,1.832289,0.8730909,0.2738955,3.317114,0.01050397,6,10
"https://osf.io/yyqas/","(1, 2, 4, 1)",1,2,4,1,"Positive","Positive",7.692164,2.72309927228203,1.588906,0.743298168482355,"Cohen's d",7.692164,3.47768,2.372797,13.04715,2.947534e-05,1.588906,0.8350066,0.09712672,3.010802,0.02309614,6,10
"https://osf.io/yyqas/","(1, 2, 5, 1)",1,2,5,1,"Positive","Null-positive",17.08841,5.81904417120014,0.1037272,0.632969284020355,"Cohen's d",17.08841,7.466766,5.806536,28.61677,6.720672e-08,0.1037272,0.7077009,-1.140048,1.341146,0.8717794,6,10
"https://osf.io/yyqas/","(1, 3, 1, 1)",1,3,1,1,"Positive","Positive",3.550201,1.81406532622301,2.113865,0.957620530175433,"Glass' delta",3.550201,1.95388,0.01023859,7.121244,0.01991732,2.113865,0.9790572,0.1901405,3.943944,0.001698913,6,10
"https://osf.io/yyqas/","(1, 3, 2, 1)",1,3,2,1,"Positive","Null-positive",2.485944,1.40422608359606,0.3524805,0.643790987973746,"Glass' delta",2.485944,1.48716,-0.3100871,5.194378,0.03834298,0.3524805,0.6446164,-0.9296733,1.593941,0.5797451,6,10
"https://osf.io/yyqas/","(1, 3, 3, 1)",1,3,3,1,"Positive","Positive",3.240964,1.6916547223076,2.056528,0.943164193108275,"Glass' delta",3.240964,1.81456,-0.07688066,6.554284,0.02393541,2.056528,0.9636718,0.1604913,3.857627,0.002616336,6,10
"https://osf.io/yyqas/","(1, 3, 4, 1)",1,3,4,1,"Positive","Null-positive",3.514033,1.44563079849904,0.5172411,0.645112032656415,"Cohen's d",3.514033,1.820805,0.6315354,6.298304,0.01260772,0.5172411,0.721735,-0.7623987,1.766394,0.4371327,6,10
"https://osf.io/yyqas/","(1, 3, 5, 1)",1,3,5,1,"Positive","Positive",5.702851,2.09462930563156,2.245365,0.839154858442956,"Cohen's d",5.702851,2.664201,1.585428,9.796224,0.00221037,2.245365,0.9454523,0.5624174,3.851844,0.007506881,6,10
"https://osf.io/yyqas/","(1, 3, 6, 1)",1,3,6,1,"Positive","Positive",3.27789,1.38072759058124,1.616828,0.746922321811716,"Cohen's d",3.27789,1.736262,0.5188403,5.931193,0.01593591,1.616828,0.8391836,0.1176913,3.045573,0.03383443,6,10
"https://osf.io/yyqas/","(1, 5, 1, 1)",1,5,1,1,"Positive","Null-negative",4.57509,1.75179519985197,-0.3733547,0.826375899136784,"Cohen's d",4.57509,2.219154,1.110656,7.977567,0.004981447,-0.3733547,1.012984,-1.971197,1.268137,0.6712144,6,6
"https://osf.io/yyqas/","(1, 6, 1, 1)",1,6,1,1,"Positive","Positive",16.21008,5.52625460744973,7.551127,2.67788160466208,"Cohen's d",16.21008,7.090048,5.49337,27.15589,3.797672e-05,7.551127,3.419234,2.318417,12.81552,0.000759987,6,6
"https://osf.io/mpyvx/","(5, 1, 1, 1)",5,1,1,1,"Positive","Positive",83.68295,36.218581341258,2.516912,1.33597046713819,"Cohen's d",83.68295,59.18968,13.27957,155.2538,6.614115e-06,2.516912,1.774421,-0.1761535,5.0607545,0.03997007,4,5
"https://osf.io/mpyvx/","(5, 1, 2, 1)",5,1,2,1,"Positive","Positive",84.78352,36.6945135560118,2.501615,1.17967968709516,"Cohen's d",84.78352,59.96768,13.45515,157.295,6.359994e-06,2.501615,1.474242,0.1266746,4.750934,0.02797935,4,6
"https://osf.io/mpyvx/","(5, 1, 3, 1)",5,1,3,1,"Null","Null-negative",1.100569,1.1226637414546,-0.01529775,0.912890243960213,"Cohen's d",1.100569,1.614195,-1.193241,3.20752,0.4291293,-0.01529775,1.178539,-1.803326,1.775138,0.9872779,4,5
"https://osf.io/jpeqg/","(6, 1, 1, 1)",6,1,1,1,"Positive","Positive",6.409596,3.07156355804811,4.317946,1.67579365024443,"Cohen's d",6.409596,4.747785,0.5256721,12.56598,0.02348687,4.317946,2.120347,0.9980206,7.567011,0.006135204,4,6
"https://osf.io/pgjhx/","(9, 2, 1, 1)",9,2,1,1,"Positive","Positive",1.936373,0.580903837509639,1.65152,0.553225701366372,"Cohen's w",0.9505299,0.0727393,0.9347403,0.962573,0.0008232143,0.4552718,0.0727393,0.335279,0.5607297,0.002942318,18,18
"https://osf.io/pgjhx/","(9, 2, 1, 2)",9,2,1,2,"Positive","Null-positive",1.936373,0.580903837509639,0.8364359,0.493693561530965,"Cohen's w",0.9505299,0.0727393,0.9347403,0.962573,0.0008232143,0.1584204,0.0727393,0.01719788,0.29344561,0.09503275,18,18
"https://osf.io/pgjhx/","(9, 2, 1, 3)",9,2,1,3,"Positive","Positive",1.936373,0.580903837509639,1.003911,0.50319858414717,"Cohen's w",0.9505299,0.0727393,0.9347403,0.962573,0.0008232143,0.1988645,0.0727393,0.05891533,0.33114741,0.04907748,18,18
"https://osf.io/pgjhx/","(9, 2, 2, 1)",9,2,2,1,"Positive","Null-positive",1.808879,0.568141587694181,0.5176725,0.480064714158921,"Cohen's w",0.7710575,0.0727393,0.7066017,0.8228232,0.001454008,0.08796912,0.0727393,-0.0543158,0.2267527,0.2883907,18,18
"https://osf.io/pgjhx/","(9, 2, 2, 2)",9,2,2,2,"Positive","Null-positive",1.808879,0.568141587694181,0.2291823,0.473114433384656,"Cohen's w",0.7710575,0.0727393,0.7066017,0.8228232,0.001454008,0.0418753,0.0727393,-0.1003279,0.182402,0.6334389,18,18
"https://osf.io/pgjhx/","(9, 2, 2, 3)",9,2,2,3,"Positive","Positive",1.808879,0.568141587694181,1.198008,0.516088003646339,"Cohen's w",0.7710575,0.0727393,0.7066017,0.8228232,0.001454008,0.256976,0.0727393,0.1197244,0.3845891,0.02178034,18,18
"https://osf.io/pgjhx/","(9, 2, 3, 1)",9,2,3,1,"Positive","Null-positive",1.804444,0.567708263405215,0.5470018,0.481063610064888,"Cohen's w",0.7281706,0.0727393,0.6539994,0.7884753,0.001483146,0.1010307,0.0727393,-0.0411666,0.2392165,0.2629216,18,18
"https://osf.io/pgjhx/","(9, 2, 3, 2)",9,2,3,2,"Positive","Null-positive",1.804444,0.567708263405215,0.7962237,0.49164502899074,"Cohen's w",0.7281706,0.0727393,0.6539994,0.7884753,0.001483146,0.1475765,0.0727393,0.006095581,0.283265095,0.1105999,18,18
"https://osf.io/pgjhx/","(9, 2, 3, 3)",9,2,3,3,"Positive","Positive",1.804444,0.567708263405215,1.551303,0.544239949516379,"Cohen's w",0.7281706,0.0727393,0.6539994,0.7884753,0.001483146,0.3869178,0.0727393,0.2595293,0.501072,0.004607628,18,18
"https://osf.io/pgjhx/","(9, 2, 4, 1)",9,2,4,1,"Positive","Null-positive",1.814815,0.568722771842964,0.2739886,0.473846309077941,"Cohen's w",0.8932464,0.0727393,0.8604814,0.9186533,0.001415907,0.04427603,0.0727393,-0.09794637,0.18472612,0.5691919,18,18
"https://osf.io/pgjhx/","(9, 2, 4, 2)",9,2,4,2,"Positive","Null-positive",1.814815,0.568722771842964,0.5994567,0.482981400406776,"Cohen's w",0.8932464,0.0727393,0.8604814,0.9186533,0.001415907,0.4205246,0.0727393,0.2965775,0.5305394,0.2216755,18,18
"https://osf.io/pgjhx/","(9, 2, 4, 3)",9,2,4,3,"Positive","Null-positive",1.814815,0.568722771842964,0.8763851,0.495819493452606,"Cohen's w",0.8932464,0.0727393,0.8604814,0.9186533,0.001415907,0.1634463,0.0727393,0.02235546,0.29815375,0.08150512,18,18
"https://osf.io/pgjhx/","(9, 2, 5, 1)",9,2,5,1,"Positive","Null-positive",1.45847,0.536294369841019,0.4652233,0.478410933770318,"Cohen's w",0.9838607,0.0727393,0.9785927,0.9878403,0.006968599,0.5636529,0.0727393,0.4586533,0.6531297,0.3383877,18,18
"https://osf.io/pgjhx/","(9, 2, 5, 2)",9,2,5,2,"Positive","Null-positive",1.45847,0.536294369841019,0.7230303,0.488155679158832,"Cohen's w",0.9838607,0.0727393,0.9785927,0.9878403,0.006968599,0.4762394,0.0727393,0.3588305,0.5788129,0.1446188,18,18
"https://osf.io/pgjhx/","(9, 2, 5, 3)",9,2,5,3,"Positive","Positive",1.45847,0.536294369841019,1.407293,0.532075899468493,"Cohen's w",0.9838607,0.0727393,0.9785927,0.9878403,0.006968599,0.3030889,0.0727393,0.1687222,0.4263963,0.008743097,18,18
